Gene	Gene name	Reliability	Main location	Additional location	Extracellular location	Enhanced	Supported	Approved	Uncertain	Single-cell variation intensity	Single-cell variation spatial	Cell cycle dependency	GO id
ENSG00000105664	COMP	Approved	Golgi apparatus		Predicted to be secreted			Golgi apparatus		Golgi apparatus			Golgi apparatus (GO:0005794)
ENSG00000105669	COPE	Enhanced	Golgi apparatus			Golgi apparatus				Golgi apparatus			Golgi apparatus (GO:0005794)
ENSG00000105671	DDX49	Approved	Mitochondria					Mitochondria		Mitochondria			Mitochondria (GO:0005739)
ENSG00000105676	ARMC6	Enhanced	Cytosol			Cytosol							Cytosol (GO:0005829)
ENSG00000105679	GAPDHS	Approved	Nucleoplasm	Centrosome				Centrosome;Nucleoplasm		Nucleoplasm			Centrosome (GO:0005813);Nucleoplasm (GO:0005654)
ENSG00000105698	USF2	Supported	Nucleoplasm	Vesicles		Nucleoplasm		Vesicles		Nucleoplasm			Nucleoplasm (GO:0005654);Vesicles (GO:0043231)
ENSG00000105699	LSR	Supported	Plasma membrane				Plasma membrane						Plasma membrane (GO:0005886)
ENSG00000105700	KXD1	Approved	Centrosome;Cytosol;Nucleoli fibrillar center					Centrosome;Cytosol;Nucleoli fibrillar center					Centrosome (GO:0005813);Cytosol (GO:0005829);Nucleoli fibrillar center (GO:0001650)
ENSG00000105701	FKBP8	Supported	Mitochondria	Cytosol;Endoplasmic reticulum			Cytosol;Endoplasmic reticulum;Mitochondria			Mitochondria			Cytosol (GO:0005829);Endoplasmic reticulum (GO:0005783);Mitochondria (GO:0005739)
ENSG00000105705	SUGP1	Enhanced	Nucleoplasm			Nucleoplasm							Nucleoplasm (GO:0005654)
ENSG00000105708	ZNF14	Approved	Cytosol;Nucleoplasm					Cytosol;Nucleoplasm					Cytosol (GO:0005829);Nucleoplasm (GO:0005654)
ENSG00000105717	PBX4	Approved	Vesicles					Vesicles					Vesicles (GO:0043231)
ENSG00000105722	ERF	Enhanced	Nucleoplasm			Nucleoplasm							Nucleoplasm (GO:0005654)
ENSG00000105723	GSK3A	Approved	Cytosol					Cytosol					Cytosol (GO:0005829)
ENSG00000105726	ATP13A1	Approved	Vesicles					Vesicles					Vesicles (GO:0043231)
ENSG00000105732	ZNF574	Supported	Nucleoplasm	Vesicles			Nucleoplasm	Vesicles		Nucleoplasm			Nucleoplasm (GO:0005654);Vesicles (GO:0043231)
ENSG00000105737	GRIK5	Supported	Plasma membrane	Nucleoplasm			Plasma membrane		Nucleoplasm	Plasma membrane			Nucleoplasm (GO:0005654);Plasma membrane (GO:0005886)
ENSG00000105738	SIPA1L3	Supported	Plasma membrane	Golgi apparatus;Nucleoplasm			Plasma membrane		Golgi apparatus;Nucleoplasm	Golgi apparatus;Plasma membrane			Golgi apparatus (GO:0005794);Nucleoplasm (GO:0005654);Plasma membrane (GO:0005886)
ENSG00000105750	ZNF85	Supported	Nucleoplasm				Nucleoplasm						Nucleoplasm (GO:0005654)
ENSG00000105755	ETHE1	Enhanced	Mitochondria			Mitochondria				Mitochondria			Mitochondria (GO:0005739)
ENSG00000105767	CADM4	Approved	Nuclear membrane	Nucleoplasm				Nuclear membrane;Nucleoplasm					Nuclear membrane (GO:0031965);Nucleoplasm (GO:0005654)
ENSG00000105771	SMG9	Approved	Cytosol;Mitochondria	Plasma membrane				Cytosol;Mitochondria;Plasma membrane					Cytosol (GO:0005829);Mitochondria (GO:0005739);Plasma membrane (GO:0005886)
ENSG00000105778	AVL9	Approved	Endoplasmic reticulum					Endoplasmic reticulum					Endoplasmic reticulum (GO:0005783)
ENSG00000105784	RUNDC3B	Uncertain	Cytosol	Vesicles					Cytosol;Vesicles				Cytosol (GO:0005829);Vesicles (GO:0043231)
ENSG00000105808	RASA4	Approved	Vesicles	Cell Junctions				Cell Junctions;Vesicles		Cell Junctions;Vesicles			Cell Junctions (GO:0030054);Vesicles (GO:0043231)
ENSG00000105810	CDK6	Supported	Nucleoplasm	Cytosol			Cytosol;Nucleoplasm			Nucleoplasm			Cytosol (GO:0005829);Nucleoplasm (GO:0005654)
ENSG00000105819	PMPCB	Enhanced	Mitochondria			Mitochondria				Mitochondria			Mitochondria (GO:0005739)
ENSG00000105821	DNAJC2	Supported	Cytosol				Cytosol						Cytosol (GO:0005829)
ENSG00000105835	NAMPT	Approved	Nuclear speckles	Cell Junctions	Predicted to be secreted			Cell Junctions;Nuclear speckles					Cell Junctions (GO:0030054);Nuclear speckles (GO:0016607)
ENSG00000105849	POLR1F	Supported	Nucleoli fibrillar center	Nucleoplasm		Nucleoli fibrillar center;Nucleoplasm							Nucleoli fibrillar center (GO:0001650);Nucleoplasm (GO:0005654)
ENSG00000105851	PIK3CG	Supported	Plasma membrane	Cytosol			Cytosol;Plasma membrane						Cytosol (GO:0005829);Plasma membrane (GO:0005886)
ENSG00000105855	ITGB8	Approved	Cytosol;Plasma membrane					Cytosol;Plasma membrane					Cytosol (GO:0005829);Plasma membrane (GO:0005886)
ENSG00000105856	HBP1	Supported	Nuclear speckles			Nuclear speckles							Nuclear speckles (GO:0016607)
ENSG00000105865	DUS4L	Approved	Cytosol					Cytosol					Cytosol (GO:0005829)
ENSG00000105866	SP4	Enhanced	Nucleoplasm	Cytosol		Nucleoplasm		Cytosol					Cytosol (GO:0005829);Nucleoplasm (GO:0005654)
ENSG00000105879	CBLL1	Supported	Nuclear speckles				Nuclear speckles						Nuclear speckles (GO:0016607)
ENSG00000105880	DLX5	Approved	Nucleoplasm					Nucleoplasm					Nucleoplasm (GO:0005654)
ENSG00000105887	MTPN	Approved	Cytosol;Plasma membrane					Cytosol;Plasma membrane					Cytosol (GO:0005829);Plasma membrane (GO:0005886)
ENSG00000105894	PTN	Supported	Endoplasmic reticulum		Predicted to be secreted		Endoplasmic reticulum						Endoplasmic reticulum (GO:0005783)
ENSG00000105928	GSDME	Supported	Cytosol				Cytosol						Cytosol (GO:0005829)
ENSG00000105929	ATP6V0A4	Uncertain	Cytosol						Cytosol				Cytosol (GO:0005829)
ENSG00000105939	ZC3HAV1	Supported	Cytosol	Golgi apparatus		Cytosol		Golgi apparatus					Cytosol (GO:0005829);Golgi apparatus (GO:0005794)
ENSG00000105953	OGDH	Enhanced	Mitochondria			Mitochondria				Mitochondria			Mitochondria (GO:0005739)
ENSG00000105963	ADAP1	Supported	Cytosol;Plasma membrane				Cytosol	Plasma membrane					Cytosol (GO:0005829);Plasma membrane (GO:0005886)
ENSG00000105967	TFEC	Supported	Nucleoplasm				Nucleoplasm			Nucleoplasm			Nucleoplasm (GO:0005654)
ENSG00000105971	CAV2	Approved	Vesicles					Vesicles					Vesicles (GO:0043231)
ENSG00000105974	CAV1	Supported	Golgi apparatus				Golgi apparatus						Golgi apparatus (GO:0005794)
ENSG00000105976	MET	Approved	Cytosol;Plasma membrane		Predicted to be secreted			Cytosol;Plasma membrane					Cytosol (GO:0005829);Plasma membrane (GO:0005886)
ENSG00000105982	RNF32	Approved	Cytosol;Nuclear bodies				Cytosol		Nuclear bodies				Cytosol (GO:0005829);Nuclear bodies (GO:0016604)
ENSG00000105983	LMBR1	Approved	Cytosol					Cytosol					Cytosol (GO:0005829)
ENSG00000105989	WNT2	Approved	Vesicles		Predicted to be secreted			Vesicles					Vesicles (GO:0043231)
ENSG00000105993	DNAJB6	Enhanced	Nucleoplasm	Cytosol		Nucleoplasm	Cytosol						Cytosol (GO:0005829);Nucleoplasm (GO:0005654)
ENSG00000105996	HOXA2	Approved	Nucleoplasm;Vesicles					Nucleoplasm;Vesicles		Nucleoplasm			Nucleoplasm (GO:0005654);Vesicles (GO:0043231)
ENSG00000105997	HOXA3	Supported	Nucleoplasm				Nucleoplasm						Nucleoplasm (GO:0005654)
ENSG00000106003	LFNG	Approved	Golgi apparatus	Nuclear membrane				Golgi apparatus;Nuclear membrane		Nuclear membrane			Golgi apparatus (GO:0005794);Nuclear membrane (GO:0031965)
ENSG00000106006	HOXA6	Supported	Nucleoplasm	Nuclear speckles			Nuclear speckles;Nucleoplasm						Nuclear speckles (GO:0016607);Nucleoplasm (GO:0005654)
ENSG00000106009	BRAT1	Supported	Nucleoplasm				Nucleoplasm						Nucleoplasm (GO:0005654)
ENSG00000106012	IQCE	Approved	Nucleoplasm	Cytosol				Cytosol;Nucleoplasm		Nucleoplasm			Cytosol (GO:0005829);Nucleoplasm (GO:0005654)
ENSG00000106013	ANKRD7	Enhanced	Nucleoplasm			Nucleoplasm				Nucleoplasm			Nucleoplasm (GO:0005654)
ENSG00000106018	VIPR2	Approved	Focal adhesion sites					Focal adhesion sites					Focal adhesion sites (GO:0005925)
ENSG00000106025	TSPAN12	Approved	Microtubules	Vesicles				Microtubules;Vesicles					Microtubules (GO:0015630);Vesicles (GO:0043231)
ENSG00000106028	SSBP1	Supported	Mitochondria				Mitochondria						Mitochondria (GO:0005739)
ENSG00000106031	HOXA13	Supported	Nucleoplasm	Intermediate filaments;Mitotic chromosome			Nucleoplasm	Intermediate filaments;Mitotic chromosome		Intermediate filaments;Mitotic chromosome;Nucleoplasm		Mitotic chromosome (biological definition)	Intermediate filaments (GO:0045111);Mitotic chromosome (GO:0005694);Nucleoplasm (GO:0005654)
ENSG00000106034	CPED1	Approved	Nucleoplasm					Nucleoplasm					Nucleoplasm (GO:0005654)
ENSG00000106038	EVX1	Approved	Nucleoplasm					Nucleoplasm					Nucleoplasm (GO:0005654)
ENSG00000106052	TAX1BP1	Approved	Cytosol	Nucleoplasm				Cytosol;Nucleoplasm					Cytosol (GO:0005829);Nucleoplasm (GO:0005654)
ENSG00000106066	CPVL	Approved	Endoplasmic reticulum					Endoplasmic reticulum					Endoplasmic reticulum (GO:0005783)
ENSG00000106069	CHN2	Approved	Nucleoplasm	Nuclear bodies				Nuclear bodies;Nucleoplasm					Nuclear bodies (GO:0016604);Nucleoplasm (GO:0005654)
ENSG00000106070	GRB10	Supported	Vesicles				Vesicles						Vesicles (GO:0043231)
ENSG00000106077	ABHD11	Supported	Mitochondria				Mitochondria						Mitochondria (GO:0005739)
ENSG00000106078	COBL	Approved	Cell Junctions;Plasma membrane					Cell Junctions;Plasma membrane					Cell Junctions (GO:0030054);Plasma membrane (GO:0005886)
ENSG00000106080	FKBP14	Approved	Cytosol	Golgi apparatus;Nucleoplasm				Cytosol;Golgi apparatus;Nucleoplasm					Cytosol (GO:0005829);Golgi apparatus (GO:0005794);Nucleoplasm (GO:0005654)
ENSG00000106086	PLEKHA8	Supported	Golgi apparatus	Nucleoplasm			Golgi apparatus	Nucleoplasm					Golgi apparatus (GO:0005794);Nucleoplasm (GO:0005654)
ENSG00000106089	STX1A	Approved	Vesicles	Nuclear membrane				Nuclear membrane;Vesicles					Nuclear membrane (GO:0031965);Vesicles (GO:0043231)
ENSG00000106100	NOD1	Approved	Mitochondria					Mitochondria					Mitochondria (GO:0005739)
ENSG00000106105	GARS1	Supported	Cytosol				Cytosol						Cytosol (GO:0005829)
ENSG00000106113	CRHR2	Supported	Plasma membrane		Predicted to be secreted		Plasma membrane						Plasma membrane (GO:0005886)
ENSG00000106123	EPHB6	Uncertain	Nuclear speckles						Nuclear speckles				Nuclear speckles (GO:0016607)
ENSG00000106125	MINDY4	Supported	Cytosol;Vesicles				Cytosol;Vesicles						Cytosol (GO:0005829);Vesicles (GO:0043231)
ENSG00000106144	CASP2	Approved	Nucleoplasm					Nucleoplasm					Nucleoplasm (GO:0005654)
ENSG00000106153	CHCHD2	Supported	Mitochondria				Mitochondria						Mitochondria (GO:0005739)
ENSG00000106211	HSPB1	Enhanced	Cytosol;Plasma membrane			Cytosol;Plasma membrane							Cytosol (GO:0005829);Plasma membrane (GO:0005886)
ENSG00000106236	NPTX2	Approved	Actin filaments;Golgi apparatus	Centrosome	Predicted to be secreted			Actin filaments;Centrosome;Golgi apparatus					Actin filaments (GO:0015629);Centrosome (GO:0005813);Golgi apparatus (GO:0005794)
ENSG00000106244	PDAP1	Enhanced	Cytosol	Plasma membrane		Cytosol;Plasma membrane							Cytosol (GO:0005829);Plasma membrane (GO:0005886)
ENSG00000106245	BUD31	Approved	Nucleoplasm	Centrosome;Microtubules				Centrosome;Microtubules;Nucleoplasm					Centrosome (GO:0005813);Microtubules (GO:0015630);Nucleoplasm (GO:0005654)
ENSG00000106246	PTCD1	Approved	Mitochondria					Mitochondria					Mitochondria (GO:0005739)
ENSG00000106258	CYP3A5	Approved	Cytosol	Vesicles				Cytosol	Vesicles				Cytosol (GO:0005829);Vesicles (GO:0043231)
ENSG00000106261	ZKSCAN1	Approved	Nuclear bodies	Mitochondria;Nucleoplasm				Mitochondria;Nuclear bodies;Nucleoplasm		Nuclear bodies	Mitochondria;Nucleoplasm		Mitochondria (GO:0005739);Nuclear bodies (GO:0016604);Nucleoplasm (GO:0005654)
ENSG00000106263	EIF3B	Approved	Cytosol	Nucleoplasm				Cytosol;Nucleoplasm					Cytosol (GO:0005829);Nucleoplasm (GO:0005654)
ENSG00000106266	SNX8	Supported	Vesicles				Vesicles						Vesicles (GO:0043231)
ENSG00000106268	NUDT1	Supported	Cytosol				Cytosol			Cytosol			Cytosol (GO:0005829)
ENSG00000106278	PTPRZ1	Approved	Cytosol	Vesicles	Predicted to be secreted			Cytosol;Vesicles		Cytosol			Cytosol (GO:0005829);Vesicles (GO:0043231)
ENSG00000106290	TAF6	Supported	Nucleoplasm	Cytosol			Nucleoplasm	Cytosol					Cytosol (GO:0005829);Nucleoplasm (GO:0005654)
ENSG00000106299	WASL	Approved	Cytosol	Nucleoli				Cytosol;Nucleoli					Cytosol (GO:0005829);Nucleoli (GO:0005730)
ENSG00000106305	AIMP2	Approved	Cytosol					Cytosol					Cytosol (GO:0005829)
ENSG00000106327	TFR2	Approved	Golgi apparatus					Golgi apparatus		Golgi apparatus			Golgi apparatus (GO:0005794)
ENSG00000106330	MOSPD3	Approved	Cytosol;Nucleoplasm					Cytosol;Nucleoplasm			Cytosol;Nucleoplasm		Cytosol (GO:0005829);Nucleoplasm (GO:0005654)
ENSG00000106333	PCOLCE	Approved	Golgi apparatus;Vesicles		Predicted to be secreted			Golgi apparatus;Vesicles		Golgi apparatus;Vesicles			Golgi apparatus (GO:0005794);Vesicles (GO:0043231)
ENSG00000106344	RBM28	Supported	Nucleoli			Nucleoli							Nucleoli (GO:0005730)
ENSG00000106346	USP42	Approved	Nucleoplasm	Nucleoli				Nucleoli;Nucleoplasm					Nucleoli (GO:0005730);Nucleoplasm (GO:0005654)
ENSG00000106348	IMPDH1	Supported	Cytosol	Rods & Rings			Cytosol;Rods & Rings			Cytosol;Rods & Rings			Cytosol (GO:0005829);Rods & Rings ()
ENSG00000106351	AGFG2	Approved	Cytosol	Nucleoplasm				Cytosol;Nucleoplasm					Cytosol (GO:0005829);Nucleoplasm (GO:0005654)
ENSG00000106366	SERPINE1	Approved	Cytosol		Predicted to be secreted			Cytosol		Cytosol			Cytosol (GO:0005829)
ENSG00000106367	AP1S1	Supported	Golgi apparatus;Vesicles				Golgi apparatus;Vesicles						Golgi apparatus (GO:0005794);Vesicles (GO:0043231)
ENSG00000106384	MOGAT3	Approved	Centrosome					Centrosome					Centrosome (GO:0005813)
ENSG00000106392	C1GALT1	Approved	Cytosol;Nuclear bodies					Cytosol;Nuclear bodies					Cytosol (GO:0005829);Nuclear bodies (GO:0016604)
ENSG00000106400	ZNHIT1	Approved	Nucleoplasm					Nucleoplasm					Nucleoplasm (GO:0005654)
ENSG00000106415	GLCCI1	Approved	Nucleoli					Nucleoli		Nucleoli			Nucleoli (GO:0005730)
ENSG00000106436	MYL10	Uncertain	Microtubules						Microtubules				Microtubules (GO:0015630)
ENSG00000106443	PHF14	Approved	Vesicles	Cytosol;Nucleoplasm				Cytosol;Nucleoplasm;Vesicles					Cytosol (GO:0005829);Nucleoplasm (GO:0005654);Vesicles (GO:0043231)
ENSG00000106459	NRF1	Supported	Nucleoplasm	Cytosol			Nucleoplasm		Cytosol				Cytosol (GO:0005829);Nucleoplasm (GO:0005654)
ENSG00000106460	TMEM106B	Supported	Endosomes;Lysosomes				Endosomes;Lysosomes						Endosomes (GO:0005768);Lysosomes (GO:0005764)
ENSG00000106462	EZH2	Supported	Nucleoplasm				Nucleoplasm			Nucleoplasm			Nucleoplasm (GO:0005654)
ENSG00000106479	ZNF862	Approved	Mitochondria					Mitochondria					Mitochondria (GO:0005739)
ENSG00000106484	MEST	Approved	Cytosol;Golgi apparatus					Cytosol;Golgi apparatus					Cytosol (GO:0005829);Golgi apparatus (GO:0005794)
ENSG00000106524	ANKMY2	Approved	Cytosol	Nucleoplasm				Cytosol;Nucleoplasm					Cytosol (GO:0005829);Nucleoplasm (GO:0005654)
ENSG00000106537	TSPAN13	Uncertain	Nucleoplasm						Nucleoplasm				Nucleoplasm (GO:0005654)
ENSG00000106541	AGR2	Supported	Endoplasmic reticulum				Endoplasmic reticulum			Endoplasmic reticulum			Endoplasmic reticulum (GO:0005783)
ENSG00000106546	AHR	Supported	Cytosol	Nucleoplasm			Cytosol;Nucleoplasm						Cytosol (GO:0005829);Nucleoplasm (GO:0005654)
ENSG00000106554	CHCHD3	Supported	Mitochondria				Mitochondria						Mitochondria (GO:0005739)
ENSG00000106560	GIMAP2	Supported	Lipid droplets	Nucleoplasm			Lipid droplets		Nucleoplasm				Lipid droplets (GO:0005811);Nucleoplasm (GO:0005654)
ENSG00000106565	TMEM176B	Approved	Golgi apparatus	Nucleoplasm;Plasma membrane				Golgi apparatus;Nucleoplasm;Plasma membrane					Golgi apparatus (GO:0005794);Nucleoplasm (GO:0005654);Plasma membrane (GO:0005886)
ENSG00000106571	GLI3	Supported	Nucleoplasm	Nucleoli;Vesicles			Nucleoli;Nucleoplasm	Vesicles		Nucleoli;Nucleoplasm			Nucleoli (GO:0005730);Nucleoplasm (GO:0005654);Vesicles (GO:0043231)
ENSG00000106603	COA1	Supported	Mitochondria				Mitochondria						Mitochondria (GO:0005739)
ENSG00000106605	BLVRA	Supported	Cytosol				Cytosol						Cytosol (GO:0005829)
ENSG00000106608	URGCP	Supported	Cytosol				Cytosol						Cytosol (GO:0005829)
ENSG00000106609	TMEM248	Approved	Vesicles					Vesicles					Vesicles (GO:0043231)
ENSG00000106617	PRKAG2	Approved	Nucleoplasm					Nucleoplasm					Nucleoplasm (GO:0005654)
ENSG00000106624	AEBP1	Supported	Vesicles	Cytosol;Nucleoplasm	Predicted to be secreted		Vesicles	Cytosol;Nucleoplasm					Cytosol (GO:0005829);Nucleoplasm (GO:0005654);Vesicles (GO:0043231)
ENSG00000106628	POLD2	Enhanced	Nucleoplasm			Nucleoplasm							Nucleoplasm (GO:0005654)
ENSG00000106633	GCK	Approved	Cytosol;Golgi apparatus					Cytosol;Golgi apparatus					Cytosol (GO:0005829);Golgi apparatus (GO:0005794)
ENSG00000106635	BCL7B	Approved	Nucleoplasm					Nucleoplasm					Nucleoplasm (GO:0005654)
ENSG00000106636	YKT6	Approved	Cytosol	Mitochondria				Cytosol;Mitochondria		Mitochondria			Cytosol (GO:0005829);Mitochondria (GO:0005739)
ENSG00000106638	TBL2	Supported	Cytosol		Predicted to be secreted		Cytosol						Cytosol (GO:0005829)
ENSG00000106682	EIF4H	Approved	Cytosol	Nuclear bodies;Nucleoplasm				Cytosol;Nuclear bodies;Nucleoplasm					Cytosol (GO:0005829);Nuclear bodies (GO:0016604);Nucleoplasm (GO:0005654)
ENSG00000106683	LIMK1	Supported	Cytosol;Nuclear speckles				Cytosol;Nuclear speckles			Cytosol;Nuclear speckles			Cytosol (GO:0005829);Nuclear speckles (GO:0016607)
ENSG00000106689	LHX2	Approved	Nucleoplasm					Nucleoplasm					Nucleoplasm (GO:0005654)
ENSG00000106701	FSD1L	Approved	Plasma membrane	Golgi apparatus;Vesicles				Golgi apparatus;Plasma membrane;Vesicles					Golgi apparatus (GO:0005794);Plasma membrane (GO:0005886);Vesicles (GO:0043231)
ENSG00000106723	SPIN1	Supported	Nucleoplasm				Nucleoplasm						Nucleoplasm (GO:0005654)
ENSG00000106733	NMRK1	Approved	Cytosol;Nucleoplasm	Centrosome				Centrosome;Cytosol;Nucleoplasm		Nucleoplasm			Centrosome (GO:0005813);Cytosol (GO:0005829);Nucleoplasm (GO:0005654)
ENSG00000106771	TMEM245	Approved	Cytosol;Plasma membrane					Cytosol;Plasma membrane					Cytosol (GO:0005829);Plasma membrane (GO:0005886)
ENSG00000106772	PRUNE2	Approved	Cytosol;Golgi apparatus	Nucleoli;Nucleoplasm			Cytosol		Golgi apparatus;Nucleoli;Nucleoplasm				Cytosol (GO:0005829);Golgi apparatus (GO:0005794);Nucleoli (GO:0005730);Nucleoplasm (GO:0005654)
ENSG00000106780	MEGF9	Approved	Nucleoplasm	Cytosol				Cytosol;Nucleoplasm					Cytosol (GO:0005829);Nucleoplasm (GO:0005654)
ENSG00000106789	CORO2A	Approved	Cytosol;Plasma membrane					Cytosol;Plasma membrane					Cytosol (GO:0005829);Plasma membrane (GO:0005886)
ENSG00000106799	TGFBR1	Supported	Plasma membrane				Plasma membrane						Plasma membrane (GO:0005886)
ENSG00000106803	SEC61B	Supported	Endoplasmic reticulum				Endoplasmic reticulum						Endoplasmic reticulum (GO:0005783)
ENSG00000106809	OGN	Supported	Endoplasmic reticulum		Predicted to be secreted		Endoplasmic reticulum						Endoplasmic reticulum (GO:0005783)
ENSG00000106819	ASPN	Uncertain	Nucleoplasm	Cytosol	Predicted to be secreted				Cytosol;Nucleoplasm				Cytosol (GO:0005829);Nucleoplasm (GO:0005654)
ENSG00000106823	ECM2	Approved	Centrosome;Cytosol	Mitotic spindle	Predicted to be secreted			Centrosome;Cytosol;Mitotic spindle		Mitotic spindle		Mitotic spindle (biological definition)	Centrosome (GO:0005813);Cytosol (GO:0005829);Mitotic spindle (GO:0072686)
ENSG00000106829	TLE4	Supported	Nucleoplasm				Nucleoplasm			Nucleoplasm			Nucleoplasm (GO:0005654)
ENSG00000106852	LHX6	Uncertain	Nucleoli fibrillar center	Plasma membrane					Nucleoli fibrillar center;Plasma membrane				Nucleoli fibrillar center (GO:0001650);Plasma membrane (GO:0005886)
ENSG00000106868	SUSD1	Approved	Nucleoplasm					Nucleoplasm					Nucleoplasm (GO:0005654)
ENSG00000106927	AMBP	Approved	Vesicles	Cytosol;Golgi apparatus	Predicted to be secreted			Golgi apparatus;Vesicles	Cytosol	Golgi apparatus			Cytosol (GO:0005829);Golgi apparatus (GO:0005794);Vesicles (GO:0043231)
ENSG00000106948	AKNA	Supported	Centrosome;Nucleoplasm				Centrosome;Nucleoplasm						Centrosome (GO:0005813);Nucleoplasm (GO:0005654)
ENSG00000106991	ENG	Supported	Plasma membrane	Nuclear bodies			Nuclear bodies	Plasma membrane		Nuclear bodies			Nuclear bodies (GO:0016604);Plasma membrane (GO:0005886)
ENSG00000106992	AK1	Supported	Cytosol				Cytosol						Cytosol (GO:0005829)
ENSG00000106993	CDC37L1	Supported	Cytosol				Cytosol						Cytosol (GO:0005829)
ENSG00000107020	PLGRKT	Uncertain	Mitochondria						Mitochondria				Mitochondria (GO:0005739)
ENSG00000107021	TBC1D13	Approved	Nucleoli					Nucleoli		Nucleoli			Nucleoli (GO:0005730)
ENSG00000107077	KDM4C	Approved	Nucleoplasm					Nucleoplasm					Nucleoplasm (GO:0005654)
ENSG00000107099	DOCK8	Approved	Centrosome	Cytosol;Mitochondria;Nucleoplasm			Centrosome	Cytosol;Mitochondria;Nucleoplasm					Centrosome (GO:0005813);Cytosol (GO:0005829);Mitochondria (GO:0005739);Nucleoplasm (GO:0005654)
ENSG00000107104	KANK1	Supported	Plasma membrane				Plasma membrane						Plasma membrane (GO:0005886)
ENSG00000107105	ELAVL2	Approved	Nucleoplasm	Cytosol				Cytosol;Nucleoplasm					Cytosol (GO:0005829);Nucleoplasm (GO:0005654)
ENSG00000107130	NCS1	Enhanced	Plasma membrane			Plasma membrane							Plasma membrane (GO:0005886)
ENSG00000107159	CA9	Supported	Plasma membrane				Plasma membrane			Plasma membrane			Plasma membrane (GO:0005886)
ENSG00000107164	FUBP3	Approved	Nucleoplasm	Cytosol				Cytosol;Nucleoplasm					Cytosol (GO:0005829);Nucleoplasm (GO:0005654)
ENSG00000107165	TYRP1	Approved	Vesicles					Vesicles		Vesicles			Vesicles (GO:0043231)
ENSG00000107175	CREB3	Supported	Cytosol				Cytosol						Cytosol (GO:0005829)
ENSG00000107185	RGP1	Supported	Cytosol	Plasma membrane			Cytosol		Plasma membrane				Cytosol (GO:0005829);Plasma membrane (GO:0005886)
ENSG00000107201	DDX58	Supported	Cytosol;Plasma membrane				Cytosol	Plasma membrane		Cytosol;Plasma membrane			Cytosol (GO:0005829);Plasma membrane (GO:0005886)
ENSG00000107223	EDF1	Supported	Cytosol;Nucleoplasm				Cytosol;Nucleoplasm						Cytosol (GO:0005829);Nucleoplasm (GO:0005654)
ENSG00000107242	PIP5K1B	Approved	Nucleoplasm	Vesicles				Nucleoplasm;Vesicles					Nucleoplasm (GO:0005654);Vesicles (GO:0043231)
ENSG00000107249	GLIS3	Supported	Nucleoplasm				Nucleoplasm						Nucleoplasm (GO:0005654)
ENSG00000107262	BAG1	Supported	Nucleoplasm	Cytosol			Cytosol;Nucleoplasm						Cytosol (GO:0005829);Nucleoplasm (GO:0005654)
ENSG00000107263	RAPGEF1	Supported	Vesicles				Vesicles						Vesicles (GO:0043231)
ENSG00000107281	NPDC1	Approved	Nucleoplasm	Cytosol				Cytosol;Nucleoplasm					Cytosol (GO:0005829);Nucleoplasm (GO:0005654)
ENSG00000107282	APBA1	Supported	Golgi apparatus				Golgi apparatus						Golgi apparatus (GO:0005794)
ENSG00000107290	SETX	Supported	Nucleoplasm	Cytokinetic bridge			Nucleoplasm	Cytokinetic bridge		Cytokinetic bridge		Cytokinetic bridge (biological definition)	Cytokinetic bridge (GO:0045171);Nucleoplasm (GO:0005654)
ENSG00000107295	SH3GL2	Approved	Microtubules	Cytokinetic bridge;Mitotic spindle				Cytokinetic bridge;Microtubules;Mitotic spindle		Cytokinetic bridge;Mitotic spindle		Cytokinetic bridge (biological definition);Mitotic spindle (biological definition)	Cytokinetic bridge (GO:0045171);Microtubules (GO:0015630);Mitotic spindle (GO:0072686)
ENSG00000107331	ABCA2	Supported	Vesicles				Vesicles						Vesicles (GO:0043231)
ENSG00000107338	SHB	Supported	Cytosol	Cytoplasmic bodies;Nucleoplasm		Cytosol		Cytoplasmic bodies;Nucleoplasm					Cytoplasmic bodies (GO:0036464);Cytosol (GO:0005829);Nucleoplasm (GO:0005654)
ENSG00000107341	UBE2R2	Approved	Nucleoli;Nucleoplasm	Cytosol				Nucleoli;Nucleoplasm	Cytosol	Nucleoplasm			Cytosol (GO:0005829);Nucleoli (GO:0005730);Nucleoplasm (GO:0005654)
ENSG00000107371	EXOSC3	Supported	Nucleoplasm				Nucleoplasm						Nucleoplasm (GO:0005654)
ENSG00000107372	ZFAND5	Approved	Nucleoplasm	Cytosol;Nuclear bodies				Cytosol;Nuclear bodies;Nucleoplasm					Cytosol (GO:0005829);Nuclear bodies (GO:0016604);Nucleoplasm (GO:0005654)
ENSG00000107438	PDLIM1	Supported	Actin filaments	Cell Junctions;Plasma membrane			Actin filaments		Cell Junctions;Plasma membrane				Actin filaments (GO:0015629);Cell Junctions (GO:0030054);Plasma membrane (GO:0005886)
ENSG00000107443	CCNJ	Approved	Golgi apparatus;Nucleoplasm					Golgi apparatus;Nucleoplasm					Golgi apparatus (GO:0005794);Nucleoplasm (GO:0005654)
ENSG00000107447	DNTT	Supported	Nucleoplasm	Cytosol			Cytosol;Nucleoplasm						Cytosol (GO:0005829);Nucleoplasm (GO:0005654)
ENSG00000107485	GATA3	Supported	Nucleoplasm				Nucleoplasm						Nucleoplasm (GO:0005654)
